# compound id (and file prefix), SMILES, iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem), experimental value (kcal/mol), experimental uncertainty (kcal/mol), Mobley group calculated value (GAFF) (kcal/mol), calculated uncertainty (kcal/mol), experimental reference (original or paper this value was taken from), calculated reference, text notes.,dG (TF),std (TF),dG (TF) lrc,lrc,lrc std,lrc diff,nr intst,nr waters,box length,diff,diff GAFF,functional group
mobley_4177472, CC(C)C(C)C(C)C," 2,3,4-trimethylpentane",2.56,0.6,2.67,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",3.16,0.09,2.72,-0.44,0,0.16,14,667,28,0.6,0.11,alkane
mobley_4188615, CN(C)C(=O)c1ccccc1," N,N-dimethylbenzamide",-9.29,0.6,-8.11,0.03, 10.1139/v92-210, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-8.43,0.18,-9.06,-0.63,0.01,0.23,17,750,29,0.86,1.18,tertiary carboxylic acid amide
mobley_4193752, c1ccc(cc1)[N+](=O)[O-], nitrobenzene,-4.12,0.6,-3.46,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.7,0.11,-3.14,-0.44,0,0.98,15,666,28,1.42,0.66,nitro
mobley_4218209, COc1ccc(cc1)N, 4-methoxyaniline,-7.48,0.6,-7.02,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.86,0.06,-6.31,-0.45,0,1.17,15,752,29,1.62,0.46,alkyl aryl ether
mobley_4219614, c1cc(c(c(c1Cl)Cl)Cl)Cl," 1,2,3,4-tetrachlorobenzene",-1.34,0.6,-0.3,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.55,0.09,-2.11,-0.56,0.01,0.77,16,838,30,0.21,1.04,aryl chloride
mobley_4252724, CC(C)Cc1ccccc1, isobutylbenzene,0.16,0.6,-0.26,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.03,0.04,0.5,-0.53,0.02,0.34,16,749,29,0.87,0.42,aromatic
mobley_4287564, Cc1ccccn1, 2-methylpyridine,-4.63,0.6,-3.5,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.74,0.06,-4.08,-0.34,0.02,0.55,13,668,28,0.89,1.13,aromatic
mobley_4291494, c1ccnc(c1)Cl, 2-chloropyridine,-4.39,0.6,-3.87,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.31,0.07,-3.65,-0.34,0,0.74,13,666,28,1.08,0.52,aryl chloride
mobley_430089, CCCC#C, pent-1-yne,0.01,0.6,0.47,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.34,0.03,0.07,-0.27,0.01,0.06,11,667,28,0.33,0.46,alkyne
mobley_4305650, CCC#N, propanenitrile,-3.84,0.6,-2.49,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.51,0.07,-2.72,-0.21,0.01,1.12,10,671,28,1.33,1.35,carbonitrile
mobley_4338603, c1c(=O)[nH]c(=O)[nH]c1Cl, 6-chlorouracil,-15.83,1.22,-15.13,0.03, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-15.19,0.07,-15.67,-0.48,0.01,0.16,15,664,28,0.64,0.7,aryl chloride
mobley_4364398, CI, iodomethane,-0.89,0.6,-0.64,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.13,0.07,-0.39,-0.26,0.02,0.5,8,670,28,0.76,0.25,alkyl iodide
mobley_4371692, c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N," 1-amino-4-hydroxy-9,10-anthracenedione",-9.53,0.28,-10.98,0.05, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-11.34,0.04,-12.25,-0.91,0.02,2.72,24,838,30,1.81,1.45,ketone
mobley_4375719, CCCCCCCCC, nonane,3.13,0.6,3.22,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",3.66,0.13,3.18,-0.48,0.02,0.05,15,749,29,0.53,0.09,alkane
mobley_4395315, Cc1cc(ccc1Cl)O, 4-chloro-3-methyl-phenol,-6.79,0.6,-5.14,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.57,0.04,-5.06,-0.49,0.02,1.73,15,665,28,2.22,1.65,phenol or hydroxyhetarene
mobley_4434915, CCl, chloromethane,-0.55,0.6,0.76,0.01, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.21,0.06,1.07,-0.14,0.01,1.62,8,671,28,1.76,1.31,alkyl chloride
mobley_4463913, CC(OC(=O)C)OC(=O)C, 1-acetoxyethyl acetate,-4.97,0.6,-8.01,0.03, 10.1139/v91-2, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.03,0.22,-6.45,-0.42,0.01,1.48,16,750,29,1.06,3.04,carboxylic acid ester
mobley_4465023, C(=C\Cl)\Cl," (Z)-1,2-dichloroethylene",-1.17,0.6,1.16,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Renamed mobley_4465023 from (Z)-1,2-dichloroethylene to (Z)-1,2-dichloroethylene (the name from the 3D structure) since the former did not completely specify stereochemistry.  ",-1.31,0.07,-1.58,-0.27,0.01,0.41,10,667,28,0.14,2.33,halogen derivative
mobley_4479135, C=C(c1ccccc1)c2ccccc2," 1,1-diphenylethene",-2.78,0.1,-2.47,0.04, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.9,0.1,-2.63,-0.73,0.03,0.15,20,841,30,0.88,0.31,alkene
mobley_4483973, c1ccc(cc1)F, fluorobenzene,-0.8,0.6,-0.04,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.91,0.08,-1.23,-0.32,0.02,0.43,13,669,28,0.11,0.76,aryl fluoride
mobley_4494568, Cc1ccc(cc1)Br, 1-bromo-4-methyl-benzene,-1.39,0.6,-0.89,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.73,0.08,-1.2,-0.47,0.02,0.19,14,753,29,0.66,0.5,aryl bromide
mobley_4506634, [C@@H](C(F)(F)F)(Cl)Br," 2-bromo-2-chloro-1,1,1-trifluoro-ethane",-0.11,0.6,0.21,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Renamed mobley_4506634 from 2-bromo-2-chloro-1,1,1-trifluoro-ethane to (2R)-2-bromo-2-chloro-1,1,1-trifluoro-ethane (the name from the 3D structure) since the former did not completely specify stereochemistry.  ",-5.11,0.04,-5.49,-0.38,0.01,5.38,13,663,28,5,0.32,alkyl chloride
mobley_4553008, c1cc(ccc1Cl)Cl," 1,4-dichlorobenzene",-1.01,0.6,-0.19,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.23,0.08,-1.64,-0.41,0.01,0.63,14,842,30,0.22,0.82,aryl chloride
mobley_4561957, CC(C)C(C)C," 2,3-dimethylbutane",2.34,0.6,2.47,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",2.95,0.07,2.61,-0.34,0.02,0.27,12,667,28,0.61,0.13,alkane
mobley_4584540, Cc1cccc(n1)C," 2,6-dimethylpyridine",-4.59,0.6,-3.44,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.92,0.07,-3.34,-0.42,0.01,1.25,14,666,28,1.67,1.15,aromatic
mobley_4587267, C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O," (2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",-23.62,0.32,-18.16,0.09, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-17.51,0.52,-18.14,-0.63,0.02,5.48,18,662,28,6.11,5.46,primary alcohol
mobley_4603202, C(CCl)OCCCl, 1-chloro-2-(2-chloroethoxy)ethane,-4.23,0.2,-2.25,0.04, 10.1021/jm070549+, 10.1021/acs.jced.7b00104," Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from bis-2-chloroethyl ether to 1-chloro-2-(2-chloroethoxy)ethane for better handling/standardization.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  ",-2.58,0.19,-3.01,-0.43,0,1.22,13,749,29,1.65,1.98,dialkyl ether
mobley_4609460, CCOC(=O)c1ccc(cc1)O, ethyl paraben,-9.2,0.3,-9.54,0.04, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.96,0.05,-7.53,-0.57,0.01,1.67,18,841,30,2.24,0.34,phenol or hydroxyhetarene
mobley_4613090, c1ccc(cc1)Cn2ccnc2, 1-benzylimidazole,-7.63,0.12,-8,0.03, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-13.58,0.05,-14.21,-0.63,0,6.58,18,750,29,5.95,0.37,aromatic
mobley_4620651, COC(=O)C1CC1, methyl cyclopropanecarboxylate,-4.1,0.6,-3.6,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.61,0.04,-5.92,-0.31,0.01,1.82,13,668,28,1.51,0.5,carboxylic acid ester
mobley_4630641, COCCOC," 1,2-dimethoxyethane",-4.84,0.6,-3.1,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.38,0.07,-3.67,-0.29,0.01,1.17,12,668,28,1.46,1.74,dialkyl ether
mobley_4639255, C(CO)O, ethylene glycol,-9.3,0.6,-7.27,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-8.66,0.08,-8.87,-0.21,0.02,0.43,10,669,28,0.64,2.03,primary alcohol
mobley_4678740, c1cc(cc(c1)C(F)(F)F)C(F)(F)F, m-bis(trifluoromethyl)benzene,1.07,0.2,-0.34,0.03, 10.1021/jm070549+, 10.1021/acs.jced.7b00104," Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from m-bis(trifluoromethyl)benzene to 1,3-bis(trifluoromethyl)benzene for better handling/standardization.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  ",0.35,0.08,-0.14,-0.49,0.01,1.21,20,660,28,0.72,1.41,halogen derivative
mobley_4683624, CCCc1ccc(cc1)O, 4-propylphenol,-5.21,0.69,-5.21,0.03," 10.1021/je00018a020 and Terres, E., Gebert, F., Hulsemann, H., Petereit, H., Toepsch, H., Ruppert, W., Brennstoff-Chemie 1955, 36, 272-274", 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Experimental value updated 10/22/13 as the average of -5.90 and -4.52, which are measured experimental values from Varhanickova, D., Shiu, W., Mackay, D., J. Chem. Eng. Data 1995, 40, 448-451 and Terres, E., Gebert, F., Hulsemann, H., Petereit, H., Toepsch, H., Ruppert, W., Brennstoff-Chemie 1955, 36, 272-274., respectively. The uncertainty was taken as the standard deviation across these two measurements.  ",-3.82,0.07,-4.36,-0.54,0.02,0.85,16,666,28,1.39,0,phenol or hydroxyhetarene
mobley_4687447, CCCOCCO, 2-propoxyethanol,-6.4,0.6,-3.94,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.43,0.07,-5.8,-0.37,0.01,0.6,13,667,28,0.97,2.46,primary alcohol
mobley_468867, C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl, heptachlor,-2.55,0.1,-0.97,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.27,0.14,-3.31,-1.04,0,0.76,23,734,29,0.28,1.58,alkyl chloride
mobley_4690963, CCOCCOCC," 1,2-diethoxyethane",-3.54,0.6,-3.42,0.04, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.08,0.14,-3.5,-0.42,0,0.04,14,667,28,0.46,0.12,dialkyl ether
mobley_4694328, CCCCCCCC=O, octanal,-2.29,0.6,-2.57,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.92,0.1,-1.37,-0.45,0.01,0.92,15,751,29,1.37,0.28,aldehyde
mobley_4699732, C[C@@H](CCl)Cl," 1,2-dichloropropane",-1.27,0.6,-0.27,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Renamed mobley_4699732 from 1,2-dichloropropane to (2S)-1,2-dichloropropane (the name from the 3D structure) since the former did not completely specify stereochemistry.  ",0.39,0.16,0.07,-0.32,0.01,1.34,11,666,28,1.66,1,alkyl chloride
mobley_4715906, C[C@@H]1CCCC[C@@H]1C," 1,2-dimethylcyclohexane",1.58,0.6,1.69,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Renamed mobley_4715906 from 1,2-dimethylcyclohexane to (1R,2S)-1,2-dimethylcyclohexane (the name from the 3D structure) since the former did not completely specify stereochemistry.  ",2.37,0.02,1.94,-0.43,0.01,0.36,14,667,28,0.79,0.11,alkane
mobley_4759887, CCCCCCCI, 1-iodoheptane,0.27,0.6,0.23,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.29,0.13,-0.29,-0.58,0.02,0.56,14,841,30,0.02,0.04,alkyl iodide
mobley_4762983, CCCCCC=C, hept-1-ene,1.66,0.6,2.76,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",2.27,0.1,1.89,-0.38,0.02,0.23,13,666,28,0.61,1.1,alkene
mobley_4780078, Cc1ccc(c(c1)C)O," 2,4-dimethylphenol",-6.01,0.6,-4.98,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.8,0.04,-4.3,-0.5,0.01,1.71,15,665,28,2.21,1.03,phenol or hydroxyhetarene
mobley_4792268, CCCCC(=O)O, pentanoic acid,-6.16,0.6,-9.05,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.88,0.17,-5.23,-0.35,0.02,0.93,13,669,28,1.28,2.89,carboxylic acid
mobley_4845722, c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl, hexachlorobenzene,-2.33,1.16,0.38,0.04, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.2,0.1,-1.87,-0.67,0.01,0.46,18,834,30,1.13,2.71,aryl chloride
mobley_4850657, CS(=O)(=O)Cl, methanesulfonyl chloride,-4.87,0.6,-6.22,0.02, 10.1139/v98-084, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.98,0.08,-4.32,-0.34,0.01,0.55,11,667,28,0.89,1.35,sulfonyl halide
mobley_486214, COc1cccc(c1O)OC," 2,6-dimethoxyphenol",-6.96,0.1,-7.39,0.04, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-7.53,0.33,-8.1,-0.57,0.01,1.14,17,752,29,0.57,0.43,phenol or hydroxyhetarene
mobley_4883284, c1ccc(cc1)N, aniline,-5.49,0.6,-5.54,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.98,0.02,-4.35,-0.37,0.03,1.14,13,668,28,1.51,0.05,primary amine
mobley_4884177, CCc1cccnc1, 3-ethylpyridine,-4.59,0.6,-2.96,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.9,0.07,-4.3,-0.4,0.02,0.29,14,669,28,0.69,1.63,aromatic
mobley_4893032, CCCCC#N, pentanenitrile,-3.52,0.6,-2.15,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.89,0.08,-3.24,-0.35,0.01,0.28,12,666,28,0.63,1.37,carbonitrile
mobley_4924862, CC(C)CCOC=O, isopentyl formate,-2.13,0.6,-3.41,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.89,0.03,-2.26,-0.37,0,0.13,14,664,28,0.24,1.28,carboxylic acid ester
mobley_49274, CCCCCC#C, hept-1-yne,0.6,0.6,0.64,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.11,0.04,-0.27,-0.38,0.01,0.87,13,666,28,0.49,0.04,alkyne
mobley_4934872, CCOC(OCC)Oc1ccccc1, diethoxymethoxybenzene,-5.23,0.6,-5.2,0.04," J. Peter Guthrie, unpublished data, as provided to D. Mobley 2007/2008, and as cited in 10.1021/jp0764384", 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.69,0.13,-4.36,-0.67,0.01,0.87,20,841,30,1.54,0.03,orthocarboxylic acid derivative
mobley_4936555, Cc1cccc(c1C)Nc2ccccc2C(=O)O," 2-(2,3-dimethylphenyl)aminobenzoic acid",-6.78,0.1,-7.67,0.04, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.85,0.11,-6.76,-0.91,0.01,0.02,24,903,31,0.93,0.89,secondary amine
mobley_4964807, CC(=O)CO[N+](=O)[O-], nitroxyacetone,-5.99,0.1,-5.36,0.03, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.32,0.11,-6.69,-0.37,0.03,0.7,14,667,28,0.33,0.63,ketone
mobley_4983965, CCSCC, ethylsulfanylethane,-1.46,0.6,0.3,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.89,0.04,0.55,-0.34,0.01,2.01,11,669,28,2.35,1.76,thioether
mobley_5003962, c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N," 2-amino-9,10-anthraquinone",-11.53,0.29,-13.89,0.04, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-12.5,0.04,-13.35,-0.85,0,1.82,23,905,31,0.97,2.36,ketone
mobley_5006685, CC(=C)[C@H]1CCC(=CC1)C=O, 4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,-4.09,0.17,-3.59,0.03, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104, Renamed mobley_5006685 from 4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde to (4S)-4-isopropenylcyclohexene-1-carbaldehyde (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,-3.25,0.02,-3.81,-0.56,0.01,0.28,17,751,29,0.84,0.5,aldehyde
mobley_5026370, c1cnccc1C#N, pyridine-4-carbonitrile,-6.02,0.6,-5.76,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-8.27,0.05,-8.67,-0.4,0.01,2.65,14,667,28,2.25,0.26,carbonitrile
mobley_5052949, CCCSCCC, 1-propylsulfanylpropane,-1.28,0.6,0.64,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.16,0.08,0.68,-0.48,0.01,1.96,13,751,29,2.44,1.92,thioether
mobley_5056289, C[C@H]1CCCO1, 2-methyltetrahydrofuran,-3.3,0.6,-1.98,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104, Renamed mobley_5056289 from 2-methyltetrahydrofuran to (2S)-2-methyltetrahydrofuran (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,-1.96,0.08,-2.26,-0.3,0.01,1.04,12,669,28,1.34,1.32,dialkyl ether
mobley_5063386, c1ccc(c(c1)[N+](=O)[O-])O, 2-nitrophenol,-4.58,0.6,-5.67,0.06, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.91,0.08,-6.4,-0.49,0.02,1.82,16,664,28,1.33,1.09,phenol or hydroxyhetarene
mobley_5072416, COc1ccccc1N, 2-methoxyaniline,-6.12,0.6,-6.77,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.02,0.21,-6.5,-0.48,0.02,0.38,15,667,28,0.1,0.65,alkyl aryl ether
mobley_5076071, CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]," 1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",-5.66,1.93,-7.5,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from dinitramine to 1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine for better handling/standardization.  ",-8.9,0.18,-9.96,-1.06,0.01,4.3,28,744,29,3.24,1.84,primary amine
mobley_5079234, CCCCCCCO, heptan-1-ol,-4.21,0.6,-2.92,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.45,0.16,-3.9,-0.45,0,0.31,14,844,30,0.76,1.29,primary alcohol
mobley_5094777, c1ccc2c(c1)CCC2, indane,-1.46,0.6,-1.75,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.63,0.05,-6.13,-0.5,0.01,4.67,15,667,28,4.17,0.29,aromatic
mobley_5110043, Cc1ccc2cc(ccc2c1)C," 2,6-dimethylnaphthalene",-2.63,0.6,-2.85,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.4,0.02,-2.06,-0.66,0.02,0.57,18,842,30,1.23,0.22,aromatic
mobley_511661, C=CC=C, butadiene,0.56,0.2,1.96,0.02, 10.1021/jo00891a006, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,0.19,0.05,0,-0.19,0.02,0.56,10,670,28,0.37,1.4,alkene
mobley_5123639, C[C@H](CC(C)C)O, 4-methylpentan-2-ol,-3.73,0.6,-2.91,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.68,0.14,-3.06,-0.38,0.02,0.67,13,667,28,1.05,0.82,secondary alcohol
mobley_5157661, CC(C)C, isobutane,2.3,0.2,2.54,0.02, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,2.72,0.05,2.5,-0.22,0,0.2,10,668,28,0.42,0.24,alkane
mobley_5200358, CC(C)(/C=N\OC(=O)NC)SC, aldicarb,-9.84,0.1,-9.68,0.05, 10.1021/jp806724u, 10.1021/acs.jced.7b00104, Renamed mobley_5200358 from aldicarb to [(Z)-(2-methyl-2-methylsulfanyl-propylidene)amino] N-methylcarbamate (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,-9.75,0.83,-10.5,-0.75,0.01,0.66,18,749,29,0.09,0.16,thioether
mobley_5220185, CCc1cnccn1, 2-ethylpyrazine,-5.45,0.6,-5.81,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.82,0.04,-5.2,-0.38,0.01,0.25,14,667,28,0.63,0.36,aromatic
mobley_525934, CS, methanethiol,-1.2,0.2,-0.27,0.02, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,-0.15,0.04,-0.35,-0.2,0.02,0.85,8,672,28,1.05,0.93,thiol (sulfanyl)
mobley_5263791, CCc1cccc2c1cccc2, 1-ethylnaphthalene,-2.4,0.6,-2.96,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.36,0.11,-1.99,-0.63,0.01,0.41,18,749,29,1.04,0.56,aromatic
mobley_52782, C(CO[N+](=O)[O-])O[N+](=O)[O-]," 1,2-dinitroxyethane",-5.73,0.1,-6.23,0.03, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from nitroglycol to 1,2-dinitroxyethane for better handling/standardization.  ",-4.81,0.05,-5.26,-0.45,0.02,0.47,16,665,28,0.92,0.5,nitrate
mobley_5282042, CN(C)CCC=C1c2ccccc2CCc3c1cccc3, Amitriptyline,-7.43,0.6,-7.35,0.05, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.01,0.46,-6.16,-1.15,0.01,1.27,27,836,30,2.42,0.08,tertiary amine
mobley_5286200, C(CCCl)CCl," 1,4-dichlorobutane",-2.32,0.6,-0.4,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.16,0.3,-0.23,-0.39,0.01,2.09,12,664,28,2.48,1.92,alkyl chloride
mobley_5310099, CCCCC=C, hex-1-ene,1.58,0.6,2.63,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.97,0.06,1.63,-0.34,0.01,0.05,12,667,28,0.39,1.05,alkene
mobley_5311804, c1ccc(cc1)CO, phenylmethanol,-6.62,0.6,-5.13,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.31,0.11,-6.74,-0.43,0.02,0.12,14,667,28,0.31,1.49,primary alcohol
mobley_5326154, CN(C)c1ccccc1," N,N-dimethylaniline",-3.45,0.6,-4.43,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.8,0.04,-2.3,-0.5,0.02,1.15,15,665,28,1.65,0.98,tertiary amine
